Serial Number	Chemical 1	Chemical 2	Jaccard Similarity
67	DED000001	DED000091	0.25
68	DED000001	DED000092	0.06976744186046512
69	DED000001	DED000093	0.0
70	DED000001	DED000094	0.023255813953488372
71	DED000001	DED000095	0.06451612903225806
72	DED000001	DED000096	0.03333333333333333
73	DED000001	DED000097	0.25
74	DED000001	DED000098	0.1111111111111111
75	DED000001	DED000099	0.04081632653061224
76	DED000001	DED000100	0.02027027027027027
77	DED000001	DED000102	0.0
78	DED000001	DED000104	0.05555555555555555
79	DED000001	DED000105	0.16666666666666666
80	DED000001	DED000107	0.038461538461538464
81	DED000001	DED000109	0.4
82	DED000001	DED000111	0.5
83	DED000001	DED000113	0.1111111111111111
84	DED000001	DED000114	0.05128205128205128
85	DED000001	DED000117	0.03125
86	DED000001	DED000118	0.0
87	DED000001	DED000119	0.047619047619047616
88	DED000001	DED000120	0.42857142857142855
89	DED000001	DED000121	0.044444444444444446
90	DED000001	DED000122	0.14285714285714285
91	DED000001	DED000126	0.030303030303030304
92	DED000001	DED000127	0.14285714285714285
93	DED000001	DED000128	0.07142857142857142
94	DED000001	DED000129	0.2
95	DED000001	DED000130	0.0
96	DED000001	DED000131	0.09523809523809523
97	DED000001	DED000133	0.25
98	DED000001	DED000135	0.02531645569620253
99	DED000001	DED000136	0.1875
100	DED000001	DED000137	0.16666666666666666
101	DED000001	DED000138	0.14285714285714285
102	DED000001	DED000139	0.0625
103	DED000001	DED000140	0.2
104	DED000001	DED000141	0.14285714285714285
105	DED000001	DED000143	0.06666666666666667
106	DED000001	DED000144	0.4
107	DED000001	DED000145	0.10526315789473684
108	DED000001	DED000146	0.2
109	DED000001	DED000147	0.42857142857142855
110	DED000001	DED000148	0.15384615384615385
111	DED000001	DED000149	0.2727272727272727
112	DED000001	DED000150	0.05555555555555555
113	DED000001	DED000151	0.3333333333333333
114	DED000001	DED000152	0.2
115	DED000001	DED000153	0.25
116	DED000001	DED000154	0.25
117	DED000001	DED000155	0.25
118	DED000001	DED000156	0.3333333333333333
119	DED000001	DED000157	0.0
120	DED000001	DED000158	0.1111111111111111
121	DED000001	DED000159	0.25
122	DED000001	DED000160	0.09090909090909091
123	DED000001	DED000161	0.1111111111111111
124	DED000001	DED000162	0.0
125	DED000001	DED000163	0.25
126	DED000001	DED000165	0.5
127	DED000001	DED000166	0.25
128	DED000001	DED000167	0.0
129	DED000001	DED000168	0.0
130	DED000001	DED000171	0.25
131	DED000001	DED000172	0.0
132	DED000001	DED000173	0.4
133	DED000001	DED000174	0.4
134	DED000001	DED000177	0.034482758620689655
135	DED000001	DED000178	0.0
136	DED000001	DED000179	0.13333333333333333
137	DED000001	DED000180	0.10714285714285714
138	DED000001	DED000182	0.08333333333333333
139	DED000001	DED000183	0.25
140	DED000001	DED000184	0.10526315789473684
141	DED000001	DED000185	0.06666666666666667
142	DED000001	DED000186	0.14285714285714285
143	DED000001	DED000188	0.05714285714285714
144	DED000001	DED000189	0.07692307692307693
145	DED000001	DED000190	0.0
146	DED000001	DED000193	0.13636363636363635
147	DED000001	DED000194	0.023809523809523808
148	DED000001	DED000195	0.02127659574468085
149	DED000001	DED000196	0.045454545454545456
150	DED000001	DED000197	0.16666666666666666
151	DED000001	DED000201	0.0
152	DED000001	DED000202	0.0
153	DED000001	DED000204	0.0
154	DED000001	DED000205	0.2
155	DED000001	DED000206	0.125
156	DED000001	DED000207	0.125
157	DED000001	DED000208	0.0
158	DED000001	DED000209	0.0
159	DED000001	DED000211	0.16666666666666666
160	DED000001	DED000212	0.09090909090909091
161	DED000001	DED000213	0.0
162	DED000001	DED000214	0.4
163	DED000001	DED000215	0.0967741935483871
164	DED000001	DED000216	0.046511627906976744
165	DED000001	DED000217	0.09090909090909091
166	DED000001	DED000218	0.09090909090909091
167	DED000001	DED000219	0.0
168	DED000001	DED000221	0.2
169	DED000001	DED000222	0.125
170	DED000001	DED000227	0.25
171	DED000001	DED000229	0.3
172	DED000001	DED000232	0.0
173	DED000001	DED000234	0.11764705882352941
174	DED000001	DED000235	0.25
175	DED000001	DED000236	0.05555555555555555
176	DED000001	DED000238	0.0
177	DED000001	DED000242	0.075
178	DED000001	DED000243	0.25
179	DED000001	DED000244	0.08
180	DED000001	DED000245	0.11764705882352941
181	DED000001	DED000247	0.047619047619047616
182	DED000001	DED000250	0.25
183	DED000001	DED000251	0.0
184	DED000001	DED000252	0.0
185	DED000001	DED000254	0.18181818181818182
186	DED000001	DED000255	0.0
187	DED000001	DED000260	0.1
188	DED000001	DED000261	0.1
189	DED000001	DED000262	0.06060606060606061
190	DED000001	DED000263	0.5
191	DED000001	DED000270	0.028037383177570093
192	DED000001	DED000271	0.0
193	DED000001	DED000274	0.0
194	DED000001	DED000276	0.1
195	DED000001	DED000277	0.05555555555555555
196	DED000001	DED000278	0.023255813953488372
197	DED000001	DED000280	0.1
198	DED000001	DED000286	0.125
199	DED000001	DED000288	0.09090909090909091
200	DED000001	DED000289	0.10344827586206896
201	DED000001	DED000290	0.06060606060606061
202	DED000001	DED000291	0.08333333333333333
203	DED000001	DED000292	0.03571428571428571
204	DED000001	DED000293	0.0625
205	DED000001	DED000296	0.06666666666666667
206	DED000001	DED000302	0.0
207	DED000001	DED000305	0.04878048780487805
208	DED000001	DED000306	0.05555555555555555
209	DED000001	DED000309	0.025
210	DED000001	DED000310	0.0
211	DED000001	DED000321	0.09523809523809523
212	DED000001	DED000322	0.034482758620689655
213	DED000001	DED000325	0.0
214	DED000001	DED000330	0.10526315789473684
215	DED000001	DED000332	0.02857142857142857
216	DED000001	DED000334	0.034482758620689655
217	DED000001	DED000335	0.07692307692307693
218	DED000001	DED000341	0.03636363636363636
219	DED000001	DED000342	0.0625
220	DED000001	DED000343	0.2
221	DED000001	DED000344	0.047619047619047616
222	DED000001	DED000345	0.058823529411764705
223	DED000001	DED000348	0.08823529411764706
224	DED000001	DED000349	0.0625
225	DED000001	DED000350	0.030303030303030304
226	DED000001	DED000352	0.02857142857142857
227	DED000001	DED000353	0.75
228	DED000001	DED000357	0.08333333333333333
229	DED000001	DED000360	0.15384615384615385
230	DED000001	DED000362	0.045454545454545456
231	DED000001	DED000363	0.0
232	DED000001	DED000364	0.0
233	DED000001	DED000365	0.23076923076923078
234	DED000001	DED000366	0.16666666666666666
235	DED000001	DED000368	0.0375
236	DED000001	DED000369	0.0625
237	DED000001	DED000371	0.02857142857142857
238	DED000001	DED000374	0.07142857142857142
239	DED000001	DED000375	0.015384615384615385
240	DED000001	DED000376	0.25
241	DED000001	DED000377	0.037037037037037035
242	DED000001	DED000378	0.0
243	DED000001	DED000379	0.10526315789473684
244	DED000001	DED000380	0.06060606060606061
245	DED000001	DED000381	0.03571428571428571
246	DED000001	DED000383	0.045454545454545456
247	DED000001	DED000384	0.0
248	DED000001	DED000387	0.15384615384615385
249	DED000001	DED000388	0.06060606060606061
250	DED000001	DED000390	0.02564102564102564
251	DED000001	DED000392	0.0
252	DED000001	DED000394	0.0
253	DED000001	DED000395	0.05084745762711865
254	DED000001	DED000396	0.21428571428571427
255	DED000001	DED000399	0.1
256	DED000001	DED000411	0.25
257	DED000001	DED000416	0.1111111111111111
258	DED000001	DED000417	0.14285714285714285
259	DED000001	DED000429	0.08333333333333333
260	DED000001	DED000433	0.037037037037037035
261	DED000001	DED000436	0.0
262	DED000001	DED000437	0.029411764705882353
263	DED000001	DED000438	0.25
264	DED000001	DED000441	0.017543859649122806
265	DED000001	DED000442	0.125
266	DED000001	DED000446	0.06666666666666667
267	DED000001	DED000448	0.08333333333333333
268	DED000001	DED000449	0.2
269	DED000001	DED000450	0.1
270	DED000001	DED000451	0.25
271	DED000001	DED000454	0.0
272	DED000001	DED000459	0.1111111111111111
273	DED000001	DED000460	0.3333333333333333
274	DED000001	DED000461	0.018518518518518517
275	DED000001	DED000463	0.1875
276	DED000001	DED000464	0.023255813953488372
277	DED000001	DED000465	0.018867924528301886
278	DED000001	DED000466	0.041666666666666664
279	DED000001	DED000467	0.1111111111111111
280	DED000001	DED000470	0.015625
281	DED000001	DED000472	0.0
282	DED000001	DED000474	0.018404907975460124
283	DED000001	DED000479	0.1
284	DED000001	DED000482	0.13636363636363635
285	DED000001	DED000483	0.045454545454545456
286	DED000001	DED000484	0.17647058823529413
287	DED000001	DED000486	0.13333333333333333
288	DED000001	DED000490	0.25
289	DED000001	DED000493	0.0
290	DED000001	DED000496	0.0
291	DED000001	DED000497	0.0
292	DED000001	DED000499	0.0
293	DED000001	DED000501	0.25
294	DED000001	DED000503	0.2857142857142857
295	DED000001	DED000506	0.2
296	DED000001	DED000507	0.23076923076923078
297	DED000001	DED000510	0.08333333333333333
298	DED000001	DED000512	0.06666666666666667
299	DED000001	DED000513	0.0
300	DED000001	DED000515	0.2
301	DED000001	DED000516	0.0
302	DED000001	DED000518	0.0
303	DED000001	DED000526	0.0
304	DED000001	DED000529	0.0
305	DED000001	DED000536	0.03571428571428571
306	DED000001	DED000537	0.0
307	DED000001	DED000542	0.07142857142857142
308	DED000001	DED000543	0.06451612903225806
309	DED000001	DED000545	0.12
310	DED000001	DED000547	0.0
311	DED000001	DED000549	0.14285714285714285
312	DED000001	DED000550	0.0
313	DED000001	DED000555	0.42857142857142855
314	DED000001	DED000557	0.020833333333333332
315	DED000001	DED000563	0.07692307692307693
316	DED000001	DED000568	0.024390243902439025
317	DED000001	DED000569	0.10344827586206896
318	DED000001	DED000570	0.01020408163265306
319	DED000001	DED000571	0.2222222222222222
320	DED000001	DED000572	0.08
321	DED000001	DED000573	0.2222222222222222
322	DED000001	DED000574	0.037037037037037035
323	DED000001	DED000575	0.08823529411764706
324	DED000001	DED000576	0.1111111111111111
325	DED000001	DED000577	0.0
326	DED000001	DED000578	0.09090909090909091
327	DED000001	DED000579	0.11764705882352941
328	DED000001	DED000580	0.09523809523809523
329	DED000001	DED000581	0.09090909090909091
330	DED000001	DED000582	0.07407407407407407
331	DED000001	DED000583	0.045454545454545456
332	DED000001	DED000584	0.07692307692307693
333	DED000001	DED000585	0.05263157894736842
334	DED000001	DED000587	0.1111111111111111
335	DED000001	DED000588	0.06060606060606061
336	DED000001	DED000589	0.0
337	DED000001	DED000590	0.058823529411764705
338	DED000001	DED000592	0.021052631578947368
339	DED000001	DED000593	0.08333333333333333
340	DED000001	DED000594	0.02247191011235955
341	DED000001	DED000596	0.025
342	DED000001	DED000597	0.024691358024691357
343	DED000001	DED000598	0.15789473684210525
344	DED000001	DED000599	0.42857142857142855
345	DED000001	DED000600	0.13636363636363635
346	DED000001	DED000601	0.06666666666666667
347	DED000001	DED000602	0.09375
348	DED000001	DED000603	0.25
349	DED000001	DED000604	0.05555555555555555
350	DED000001	DED000605	0.14814814814814814
351	DED000001	DED000606	0.06896551724137931
352	DED000001	DED000607	0.07692307692307693
353	DED000001	DED000608	0.16666666666666666
354	DED000001	DED000609	0.125
355	DED000001	DED000611	0.05970149253731343
356	DED000001	DED000612	0.23076923076923078
357	DED000001	DED000613	0.16666666666666666
358	DED000001	DED000614	0.03125
359	DED000001	DED000615	0.03333333333333333
360	DED000001	DED000616	0.014492753623188406
361	DED000001	DED000617	0.12
362	DED000001	DED000618	0.0136986301369863
363	DED000001	DED000619	0.058823529411764705
364	DED000001	DED000620	0.024390243902439025
365	DED000001	DED000622	0.14285714285714285
366	DED000001	DED000623	0.013986013986013986
367	DED000001	DED000624	0.125
368	DED000001	DED000625	0.2
369	DED000001	DED000626	0.3333333333333333
370	DED000001	DED000627	0.046511627906976744
371	DED000001	DED000628	0.0
372	DED000001	DED000631	0.09090909090909091
373	DED000001	DED000632	0.0
374	DED000001	DED000633	0.05128205128205128
375	DED000001	DED000634	0.2857142857142857
376	DED000001	DED000636	0.5
377	DED000001	DED000637	0.05263157894736842
378	DED000001	DED000638	0.0
379	DED000001	DED000639	0.041666666666666664
380	DED000001	DED000641	0.09090909090909091
381	DED000001	DED000643	0.041666666666666664
382	DED000001	DED000645	0.041666666666666664
383	DED000001	DED000646	0.04
384	DED000001	DED000647	0.0
385	DED000001	DED000649	0.030303030303030304
386	DED000001	DED000650	0.012345679012345678
387	DED000001	DED000651	0.011363636363636364
388	DED000001	DED000652	0.05263157894736842
389	DED000001	DED000654	0.06666666666666667
390	DED000001	DED000655	0.25
391	DED000001	DED000656	0.2222222222222222
392	DED000001	DED000657	0.015384615384615385
393	DED000001	DED000661	0.16666666666666666
394	DED000001	DED000662	0.08333333333333333
395	DED000001	DED000665	0.0273972602739726
396	DED000001	DED000666	0.023255813953488372
397	DED000001	DED000667	0.07142857142857142
398	DED000001	DED000668	0.16666666666666666
399	DED000001	DED000669	0.03333333333333333
400	DED000001	DED000670	0.25
401	DED000001	DED000671	0.14285714285714285
402	DED000001	DED000672	0.06896551724137931
403	DED000001	DED000673	0.10714285714285714
404	DED000001	DED000674	0.06896551724137931
405	DED000001	DED000675	0.125
406	DED000001	DED000681	0.0
407	DED000001	DED000685	0.01818181818181818
408	DED000001	DED000687	0.0
409	DED000001	DED000688	0.0625
410	DED000001	DED000690	0.02857142857142857
411	DED000001	DED000691	0.25
412	DED000001	DED000692	0.25
413	DED000001	DED000694	0.2222222222222222
414	DED000001	DED000698	0.11764705882352941
415	DED000001	DED000699	0.15
416	DED000001	DED000700	0.16666666666666666
417	DED000001	DED000701	0.2222222222222222
418	DED000001	DED000702	0.14285714285714285
419	DED000001	DED000703	0.0
420	DED000001	DED000704	0.125
421	DED000001	DED000705	0.5
422	DED000001	DED000707	0.23076923076923078
423	DED000001	DED000709	0.3333333333333333
424	DED000001	DED000711	0.07142857142857142
425	DED000001	DED000713	0.15789473684210525
426	DED000001	DED000714	0.125
427	DED000001	DED000715	0.0
428	DED000001	DED000716	0.09523809523809523
429	DED000001	DED000717	0.058823529411764705
430	DED000001	DED000718	0.016129032258064516
431	DED000001	DED000719	0.16666666666666666
432	DED000001	DED000722	0.0
433	DED000001	DED000723	0.028846153846153848
434	DED000001	DED000725	0.03333333333333333
435	DED000001	DED000728	0.058823529411764705
436	DED000001	DED000729	0.0
437	DED000001	DED000731	0.04477611940298507
438	DED000001	DED000733	0.21428571428571427
439	DED000001	DED000736	0.017543859649122806
440	DED000001	DED000738	0.03125
441	DED000001	DED000739	0.0
442	DED000001	DED000741	0.037037037037037035
443	DED000001	DED000742	0.0196078431372549
444	DED000001	DED000744	0.025
445	DED000001	DED000747	0.06666666666666667
446	DED000001	DED000748	0.024390243902439025
447	DED000001	DED000750	0.0
448	DED000001	DED000751	0.2
449	DED000001	DED000754	0.0
450	DED000001	DED000758	0.0
451	DED000001	DED000763	0.05555555555555555
452	DED000001	DED000766	0.0
453	DED000001	DED000768	0.16666666666666666
454	DED000001	DED000771	0.23076923076923078
455	DED000001	DED000772	0.0
456	DED000001	DED000774	0.03225806451612903
457	DED000001	DED000776	0.05660377358490566
458	DED000001	DED000780	0.05263157894736842
459	DED000001	DED000785	0.0189873417721519
460	DED000001	DED000794	0.10526315789473684
461	DED000001	DED000795	0.0
462	DED000001	DED000796	0.125
463	DED000001	DED000799	0.058823529411764705
464	DED000001	DED000800	0.06666666666666667
465	DED000001	DED000803	0.2
466	DED000001	DED000804	0.125
467	DED000001	DED000805	0.045454545454545456
468	DED000001	DED000806	0.09523809523809523
469	DED000001	DED000807	0.125
470	DED000001	DED000808	0.2
471	DED000001	DED000809	0.15384615384615385
472	DED000001	DED000810	0.05128205128205128
473	DED000001	DED000812	0.0
474	DED000001	DED000813	0.0
475	DED000001	DED000815	0.0
476	DED000001	DED000816	0.07692307692307693
477	DED000001	DED000817	0.1
478	DED000001	DED000819	0.0
479	DED000001	DED000820	0.25
480	DED000001	DED000821	0.0
481	DED000001	DED000822	0.2
482	DED000001	DED000823	0.0
483	DED000001	DED000824	0.05555555555555555
484	DED000001	DED000825	0.023255813953488372
485	DED000001	DED000826	0.1111111111111111
486	DED000001	DED000827	0.07692307692307693
487	DED000001	DED000828	0.0
488	DED000001	DED000829	0.25
489	DED000001	DED000830	0.03333333333333333
490	DED000001	DED000831	0.0
491	DED000001	DED000833	0.05
492	DED000001	DED000834	0.02564102564102564
493	DED000001	DED000835	0.04040404040404041
494	DED000001	DED000836	0.07692307692307693
495	DED000001	DED000837	0.08333333333333333
496	DED000001	DED000838	0.2
497	DED000001	DED000840	0.125
498	DED000001	DED000843	0.125
499	DED000001	DED000844	0.3333333333333333
500	DED000001	DED000846	0.024390243902439025
501	DED000001	DED000847	0.3
502	DED000001	DED000848	0.03333333333333333
503	DED000001	DED000849	0.1111111111111111
504	DED000001	DED000850	0.23529411764705882
505	DED000001	DED000851	0.0
506	DED000001	DED000853	0.0
507	DED000001	DED000854	0.029411764705882353
508	DED000001	DED000855	0.0967741935483871
509	DED000001	DED000856	0.07692307692307693
510	DED000001	DED000858	0.0
511	DED000001	DED000859	0.1111111111111111
512	DED000001	DED000860	0.125
513	DED000001	DED000861	0.06896551724137931
514	DED000001	DED000864	0.08333333333333333
515	DED000001	DED000865	0.3333333333333333
516	DED000001	DED000866	0.3333333333333333
517	DED000001	DED000867	0.0
518	DED000001	DED000868	0.025
519	DED000001	DED000869	0.2
520	DED000001	DED000874	0.25
521	DED000001	DED000876	0.3333333333333333
522	DED000001	DED000878	0.058823529411764705
523	DED000001	DED000880	0.16666666666666666
524	DED000001	DED000881	0.1
525	DED000001	DED000884	0.2222222222222222
526	DED000001	DED000886	0.1
527	DED000001	DED000892	0.4
528	DED000001	DED000893	0.2857142857142857
529	DED000001	DED000895	0.0625
530	DED000001	DED000900	0.14285714285714285
531	DED000001	DED000902	0.13043478260869565
532	DED000001	DED000905	0.2
533	DED000001	DED000906	0.044444444444444446
534	DED000001	DED000907	0.0
535	DED000001	DED000910	0.04878048780487805
536	DED000001	DED000911	0.02631578947368421
537	DED000001	DED000912	0.0
538	DED000001	DED000914	0.07142857142857142
539	DED000001	DED000915	0.024390243902439025
540	DED000001	DED000917	0.0
541	DED000001	DED000919	0.0
542	DED000001	DED000921	0.0
543	DED000001	DED000923	0.047619047619047616
544	DED000001	DED000925	0.03333333333333333
545	DED000001	DED000926	0.25
546	DED000001	DED000927	0.029411764705882353
547	DED000001	DED000928	0.045454545454545456
548	DED000001	DED000929	0.05263157894736842
549	DED000001	DED000930	0.2
550	DED000001	DED000931	0.05555555555555555
551	DED000001	DED000932	0.02702702702702703
552	DED000001	DED000934	0.044444444444444446
553	DED000001	DED000937	0.0
554	DED000001	DED000940	0.1111111111111111
555	DED000001	DED000941	0.06666666666666667
556	DED000001	DED000944	0.05555555555555555
557	DED000001	DED000946	0.0
558	DED000001	DED000951	0.06060606060606061
559	DED000001	DED000961	0.0
560	DED000001	DED000964	0.6
561	DED000001	DED000969	0.13793103448275862
562	DED000001	DED000970	0.2
563	DED000001	DED000972	0.125
564	DED000001	DED000974	0.06666666666666667
565	DED000001	DED000976	0.2
566	DED000001	DED000979	0.0
567	DED000001	DED000981	0.0
568	DED000001	DED000986	0.14285714285714285
569	DED000001	DED000993	0.2
570	DED000001	DED000995	0.0
571	DED000001	DED000997	0.018518518518518517
572	DED000001	DED001000	0.047619047619047616
573	DED000001	DED001001	0.0
574	DED000001	DED001007	0.125
575	DED000001	DED001015	0.0
576	DED000001	DED001026	0.0
577	DED000001	DED001027	0.05405405405405406
578	DED000001	DED001029	0.0
579	DED000002	DED000004	0.07692307692307693
580	DED000002	DED000006	0.3157894736842105
581	DED000002	DED000011	0.14285714285714285
582	DED000002	DED000012	0.025
583	DED000002	DED000013	0.07692307692307693
584	DED000002	DED000017	0.06666666666666667
585	DED000002	DED000018	0.09090909090909091
586	DED000002	DED000019	0.13333333333333333
587	DED000002	DED000021	0.2222222222222222
588	DED000002	DED000022	0.03225806451612903
589	DED000002	DED000023	0.0
590	DED000002	DED000025	0.0
591	DED000002	DED000026	0.04
592	DED000002	DED000027	0.05555555555555555
593	DED000002	DED000028	0.05405405405405406
594	DED000002	DED000029	0.06666666666666667
595	DED000002	DED000030	0.0
596	DED000002	DED000031	0.08333333333333333
597	DED000002	DED000032	0.16666666666666666
598	DED000002	DED000033	0.15
599	DED000002	DED000034	0.2
600	DED000002	DED000035	0.13043478260869565
601	DED000002	DED000036	0.11764705882352941
602	DED000002	DED000037	0.08571428571428572
603	DED000002	DED000039	0.0
604	DED000002	DED000041	0.2857142857142857
605	DED000002	DED000042	0.05263157894736842
606	DED000002	DED000043	0.1388888888888889
607	DED000002	DED000044	0.23076923076923078
608	DED000002	DED000045	0.08333333333333333
609	DED000002	DED000046	0.045454545454545456
610	DED000002	DED000048	0.24
611	DED000002	DED000049	0.1
612	DED000002	DED000052	0.13333333333333333
613	DED000002	DED000054	0.11764705882352941
614	DED000002	DED000056	0.07142857142857142
615	DED000002	DED000057	0.13333333333333333
616	DED000002	DED000058	0.08695652173913043
617	DED000002	DED000059	0.08333333333333333
618	DED000002	DED000061	0.0
619	DED000002	DED000062	0.14285714285714285
620	DED000002	DED000064	0.09523809523809523
621	DED000002	DED000065	0.10416666666666667
622	DED000002	DED000066	0.05
623	DED000002	DED000067	0.07894736842105263
624	DED000002	DED000068	0.16666666666666666
625	DED000002	DED000069	0.2
626	DED000002	DED000071	0.07142857142857142
627	DED000002	DED000072	0.05555555555555555
628	DED000002	DED000073	0.15789473684210525
629	DED000002	DED000074	0.07692307692307693
630	DED000002	DED000075	0.058823529411764705
631	DED000002	DED000076	0.05555555555555555
632	DED000002	DED000077	0.07692307692307693
633	DED000002	DED000078	0.47058823529411764
634	DED000002	DED000080	0.14814814814814814
635	DED000002	DED000081	0.11764705882352941
636	DED000002	DED000083	0.12643678160919541
637	DED000002	DED000084	0.07692307692307693
638	DED000002	DED000085	0.05263157894736842
639	DED000002	DED000086	0.1111111111111111
640	DED000002	DED000087	0.054945054945054944
641	DED000002	DED000088	0.10810810810810811
642	DED000002	DED000089	0.19230769230769232
643	DED000002	DED000090	0.07692307692307693
644	DED000002	DED000091	0.0
645	DED000002	DED000092	0.1
646	DED000002	DED000093	0.05263157894736842
647	DED000002	DED000094	0.10416666666666667
648	DED000002	DED000095	0.13513513513513514
649	DED000002	DED000096	0.08108108108108109
650	DED000002	DED000097	0.0
651	DED000002	DED000098	0.03571428571428571
652	DED000002	DED000099	0.1320754716981132
653	DED000002	DED000100	0.059602649006622516
654	DED000002	DED000102	0.08571428571428572
655	DED000002	DED000104	0.06818181818181818
656	DED000002	DED000105	0.06666666666666667
657	DED000002	DED000107	0.05
658	DED000002	DED000109	0.06666666666666667
659	DED000002	DED000111	0.07142857142857142
660	DED000002	DED000113	0.05555555555555555
661	DED000002	DED000114	0.25
662	DED000002	DED000117	0.05
663	DED000002	DED000118	0.07692307692307693
664	DED000002	DED000119	0.06896551724137931
665	DED000002	DED000120	0.11764705882352941
666	DED000002	DED000121	0.05660377358490566
667	DED000002	DED000122	0.13636363636363635
668	DED000002	DED000126	0.075
669	DED000002	DED000127	0.041666666666666664
670	DED000002	DED000128	0.09090909090909091
671	DED000002	DED000129	0.10526315789473684
672	DED000002	DED000130	0.1875
673	DED000002	DED000131	0.14285714285714285
674	DED000002	DED000133	0.0
675	DED000002	DED000135	0.022727272727272728
676	DED000002	DED000136	0.21739130434782608
677	DED000002	DED000137	0.15
678	DED000002	DED000138	0.3076923076923077
679	DED000002	DED000139	0.1320754716981132
680	DED000002	DED000140	0.10526315789473684
681	DED000002	DED000141	0.0625
682	DED000002	DED000143	0.041666666666666664
683	DED000002	DED000144	0.14285714285714285
684	DED000002	DED000145	0.15384615384615385
685	DED000002	DED000146	0.10526315789473684
686	DED000002	DED000147	0.1875
687	DED000002	DED000148	0.043478260869565216
688	DED000002	DED000149	0.21052631578947367
689	DED000002	DED000150	0.0
690	DED000002	DED000151	0.13333333333333333
691	DED000002	DED000152	0.0
692	DED000002	DED000153	0.0
693	DED000002	DED000154	0.07692307692307693
694	DED000002	DED000155	0.07692307692307693
695	DED000002	DED000156	0.0625
696	DED000002	DED000157	0.06666666666666667
697	DED000002	DED000158	0.0
698	DED000002	DED000159	0.07692307692307693
699	DED000002	DED000160	0.05
700	DED000002	DED000161	0.11764705882352941
701	DED000002	DED000162	0.0
702	DED000002	DED000163	0.07692307692307693
703	DED000002	DED000165	0.07142857142857142
704	DED000002	DED000166	0.0
705	DED000002	DED000167	0.05555555555555555
706	DED000002	DED000168	0.07692307692307693
707	DED000002	DED000171	0.0
708	DED000002	DED000172	0.06666666666666667
709	DED000002	DED000173	0.06666666666666667
710	DED000002	DED000174	0.06666666666666667
711	DED000002	DED000177	0.02631578947368421
712	DED000002	DED000178	0.06451612903225806
713	DED000002	DED000179	0.13043478260869565
714	DED000002	DED000180	0.2903225806451613
715	DED000002	DED000182	0.09375
716	DED000002	DED000183	0.2
717	DED000002	DED000184	0.1111111111111111
718	DED000002	DED000185	0.041666666666666664
719	DED000002	DED000186	0.0625
720	DED000002	DED000188	0.06976744186046512
721	DED000002	DED000189	0.15625
722	DED000002	DED000190	0.0
723	DED000002	DED000193	0.1724137931034483
724	DED000002	DED000194	0.04
725	DED000002	DED000195	0.09615384615384616
726	DED000002	DED000196	0.14285714285714285
727	DED000002	DED000197	0.14285714285714285
728	DED000002	DED000201	0.0625
729	DED000002	DED000202	0.15384615384615385
730	DED000002	DED000204	0.0
